dpf_ko,dose_ko,x_fish_ko,x_dead_ko,percent_dead_ko,hatched_ko,percent_hatched_ko,abnormalities_ko,percent_abnormalities_ko,dpf_ab,dose_ab,x_fish_ab,x_dead_ab,percent_dead_ab,hatched_ab,percent_hatched_ab,abnormalities_ab,percent_abnormalities_ab
2,2,60,0,21.66666667,10,21.27659574,na,na,2,2,60,1,8.333333333,1,1.818181818,na,na
2,8,60,0,21.66666667,1,2.127659574,na,na,2,8,60,0,3.333333333,0,0,na,na
2,16,60,37,100,na,na,na,na,2,16,60,17,100,na,na,na,na
3,0,60,0,20,48,100,na,na,3,0,60,0,3.333333333,49,84.48275862,na,na
3,0.25,60,1,16.66666667,50,100,na,na,3,0.25,60,0,1.666666667,55,93.22033898,na,na
3,0.5,60,1,18.33333333,48,97.95918367,na,na,3,0.5,60,0,5,53,92.98245614,na,na
3,2,60,0,21.66666667,45,95.74468085,na,na,3,2,60,0,8.333333333,42,76.36363636,na,na
3,8,60,6,31.66666667,11,26.82926829,na,na,3,8,60,50,86.66666667,na,na,na,na
3,16,60,60,100,na,na,na,na,3,16,60,60,100,na,na,na,na
4,0,60,0,20,48,100,na,na,4,0,60,0,3.333333333,58,100,na,na
4,0.25,60,0,16.66666667,50,100,na,na,4,0.25,60,0,1.666666667,59,100,na,na
4,0.5,60,0,18.33333333,49,100,na,na,4,0.5,60,0,5,57,100,na,na
4,2,60,0,21.66666667,47,100,na,na,4,2,60,0,8.333333333,55,100,na,na
4,8,60,20,65,17,80.95238095,na,na,4,8,60,3,91.66666667,na,na,na,na
4,16,60,60,100,na,na,na,na,4,16,60,60,100,na,na,na,na
5,0,60,0,20,,100,1,2.083333333,5,0,60,0,3.333333333,na,100,0,0
5,0.25,60,0,16.66666667,,100,2,4,5,0.25,60,0,1.666666667,na,100,4,6.779661017
5,0.5,60,0,18.33333333,,100,1,2.040816327,5,0.5,60,0,5,na,100,4,7.01754386
5,2,60,0,21.66666667,,100,47,100,5,2,60,0,8.333333333,na,100,46,83.63636364
5,8,60,21,100,na,na,na,na,5,8,60,60,100,na,na,na,na
5,16,60,60,100,na,na,na,na,5,16,60,60,100,na,na,na,na
